INFO:root:Scraped at: 2024-09-06 10:05:16.954664, Percent change from open: -26.974267968056783, Percent change from Average: -48.02363372757849, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-06 10:36:19.452127, Percent change from open: -27.32919254658385, Percent change from Average: -48.276252761709344, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 08:03:12.930098, Percent change from open: -24.667258207630873, Percent change from Average: -46.381610005728, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 08:33:32.396067, Percent change from open: -26.619343389529725, Percent change from Average: -47.77101469344765, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 09:03:51.195993, Percent change from open: -25.9094942324756, Percent change from Average: -47.265776625185964, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 09:34:10.027133, Percent change from open: -25.199645075421472, Percent change from Average: -46.76053855692427, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 10:04:52.571007, Percent change from open: -24.40106477373558, Percent change from Average: -46.192145730129866, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 10:35:34.873912, Percent change from open: -23.425022182786147, Percent change from Average: -45.49744338627003, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 11:05:55.502767, Percent change from open: -24.04614019520851, Percent change from Average: -45.939526695999014, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 14:05:38.319628, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 14:35:58.677775, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 15:06:17.648801, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 15:36:58.611549, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 16:07:18.406419, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 16:37:38.636908, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 17:08:21.820135, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 17:38:42.293129, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 18:09:24.924779, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 18:39:46.234663, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 19:10:07.657414, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 19:40:48.325937, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 20:11:08.096206, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 20:41:28.156060, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 21:11:48.947330, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 21:42:26.594650, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 22:12:47.501590, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 22:43:03.158140, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 23:13:24.102939, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-09 23:43:44.550442, Percent change from open: -21.65039929015084, Percent change from Average: -44.23434821561581, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 08:03:55.199734, Percent change from open: -22.18278615794144, Percent change from Average: -44.613276766812085, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 08:34:35.529905, Percent change from open: -21.295474711623786, Percent change from Average: -43.981729181484965, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 09:04:55.743831, Percent change from open: -21.206743566992003, Percent change from Average: -43.91857442295225, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 10:05:53.902888, Percent change from open: -21.384205856255548, Percent change from Average: -44.04488394001768, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 10:36:12.926480, Percent change from open: -21.827861579414368, Percent change from Average: -44.36065773268123, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 18:03:13.805475, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 18:33:33.457975, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 19:03:53.724728, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 20:05:27.983274, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 20:36:11.235292, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 21:06:30.318127, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 21:36:51.528777, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 22:07:35.840592, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-10 22:38:15.673760, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 00:48:57.397699, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 01:19:17.037948, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 01:49:36.536667, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 02:19:55.827761, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 02:50:14.481886, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 03:20:53.356783, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 03:51:13.334831, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 04:21:53.552205, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 04:52:13.687756, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-11 05:22:33.946721, Percent change from open: -17.036379769299025, Percent change from Average: -40.95030077191482, Average price: 15.834119601328906
